t, n, Tsim
1.4149989, 100,0.0
1.4199989, 100,0.0
1.4249989, 100,0.0
1.4299989, 100,0.0
1.4349989, 100,0.0
1.4399989, 100,0.0
1.4449989, 100,0.0
1.4499989, 100,0.0
1.4549989, 100,0.0
1.4599988, 100,0.0
1.4649988, 100,0.0
1.4699988, 100,0.0
1.4749988, 100,0.0
1.4799988, 100,1.0
1.4849988, 100,0.0
1.4899988, 100,0.0
1.4949988, 100,0.0
1.4999988, 100,0.0
1.5049988, 100,0.0
1.5099988, 100,0.0
1.5149988, 100,0.0
1.5199988, 100,0.0
1.5249988, 100,0.0
1.5299988, 100,0.0
1.5349988, 100,0.0
1.5399988, 100,0.0
1.5449988, 100,0.0
1.5499988, 100,0.0
1.5549988, 100,0.0
1.5599988, 100,0.0
1.5649987, 100,0.0
1.5699987, 100,0.0
1.5749987, 100,0.0
1.5799987, 100,0.0
1.5849987, 100,0.0
1.5899987, 100,0.0
1.5949987, 100,0.0
1.5999987, 100,0.0
1.6049987, 100,0.0
1.6099987, 100,1.0
1.6149987, 100,0.0
1.6199987, 100,0.0
1.6249987, 100,0.0
1.6299987, 100,0.0
1.6349987, 100,0.0
1.6399987, 100,0.0
1.6449987, 100,0.0
1.6499987, 100,0.0
1.6549987, 100,0.0
1.6599987, 100,0.0
1.6649987, 100,0.0
1.6699986, 100,0.0
1.6749986, 100,0.0
1.6799986, 100,0.0
1.6849986, 100,0.0
1.6899986, 100,0.0
1.6949986, 100,0.0
1.6999986, 100,0.0
1.7049986, 100,0.0
1.7099986, 100,0.0
1.7149986, 100,0.0
1.7199986, 100,1.0
1.7249986, 100,0.0
1.7299986, 100,0.0
1.7349986, 100,0.0
1.7399986, 100,0.0
1.7449986, 100,0.0
1.7499986, 100,0.0
1.7549986, 100,0.0
1.7599986, 100,0.0
1.7649986, 100,0.0
1.7699986, 100,0.0
1.7749985, 100,0.0
1.7799985, 100,0.0
1.7849985, 100,0.0
1.7899985, 100,0.0
1.7949985, 100,0.0
1.7999985, 100,0.0
1.8049985, 100,0.0
1.8099985, 100,0.0
1.8149985, 100,0.0
1.8199985, 100,0.0
1.8249985, 100,0.0
1.8299985, 100,0.0
1.8349985, 100,0.0
1.8399985, 100,0.0
1.8449985, 100,0.0
1.8499985, 100,0.0
1.8549985, 100,0.0
1.8599985, 100,0.0
1.8649985, 100,0.0
1.8699985, 100,0.0
1.8749985, 100,0.0
1.8799984, 100,0.0
1.8849984, 100,0.0
1.8899984, 100,0.0
1.8949984, 100,0.0
1.8999984, 100,0.0
1.9049984, 100,0.0
1.9099984, 100,0.0
1.9149984, 100,0.0
1.9199984, 100,0.0
1.9249984, 100,0.0
1.9299984, 100,0.0
1.9349984, 100,0.0
1.9399984, 100,0.0
1.9449984, 100,0.0
1.9499984, 100,0.0
1.9549984, 100,0.0
1.9599984, 100,0.0
1.9649984, 100,1.0
1.9699984, 100,0.0
1.9749984, 100,0.0
1.9799984, 100,0.0
1.9849983, 100,0.0
1.9899983, 100,0.0
1.9949983, 100,0.0
1.9999983, 100,0.0
2.0049984, 100,0.0
2.0099986, 100,0.0
2.0149987, 100,1.0
2.0199988, 100,0.0
2.024999, 100,0.0
2.029999, 100,0.0
2.03499
